,level,text
0,2 - Mid,esseng contact im ◾️telegram contact halummu media ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
1,2 - Mid,islam state west africa wilayah success allah khilafah soldier attack checkpoint murtadd nigerian armi near town azar borno area yesterday mujahidin clash use varieti weapon forc flee befor mujahidin return safe posit prais due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
2,2 - Mid,islam state khurasan wilayah success allah khilafah soldier deton explos devic vehicl murtadd taliban militia achin area nangarhar disabl vehicl kill wound prais due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
3,2 - Mid,islam state central africa wilayah 🔵 media offic central africa wilayah present 🎥 video releas titl • life jihad khilafahen khilafahvideo
4,2 - Mid,🎥 video releas 🔵 media offic central africa wilayah present ■ life jihad 1080p
5,1 - Low,gab check
6,1 - Low,laser nazi gdl special thank ht white power⚡️⚡️
7,1 - Low,stay tune best yet come⚡️⚡️
8,1 - Low,laser nazi make jew spend shekel
9,1 - Low,laser nazi gdl take name jew new heights⚡️⚡️
10,1 - Low,kayn feat ht gdl
11,1 - Low,laser nazi ⚡️⚡️ halloween special
12,1 - Low,unvaccin die legion lie kike anyon know person die last coupl year one took jab one person know refus wear mask got die covid fuck whore
13,1 - Low,alway pull antisemitism card tri scapegoat u media goyim
14,1 - Low,call themselv peopl god peopl bibl jew 👃 need put cowardic asid admit true god goyim must stop feel sorri onli thing never victim kanyeisright
15,1 - Low,hope allow butcher inject one toxic vaccin
16,2 - Mid,white lion pride movement stand promot preserv prolifer white race cultur fight normal white pride white power time abolish white guilt join pride whitelivesmatt whitepow whiteprid
17,1 - Low,necessari stand right despit hate carv path us cannot wlp pack leader 💪🏻 whiteprid whitepow
18,1 - Low,white peopl violent oppress mani afraid say white pride black power black pride support encourag silenc cancel proud race thi violent oppress thi unaccept whitelivesmatt
19,1 - Low,liberalhypocrisi white peopl mention white live matter they'r label racist howev black peopl say black live matter it' ok itsoktobewhit whitelivesdomatt never apolog white nsfbw need apologize👇 whitelivesmatt
20,1 - Low,want everyon know it' itsoktobewhit whitelivesmatt mean you'r racist it' statement mean white people' live matter eras like they'r noth antiwhit hate need end improudtobewhit whiteliveswillalwaysmatter🤍
21,1 - Low,antiwhit evil disgust neg want commit violenc see cute innoc white babi like thi one
22,1 - Low,like wouldnt problem said white peopl instead jew sure problem hi whitelivesmatt tshirt
23,1 - Low,white live matter stop antiwhit racism stop immigr
24,1 - Low,accord tv commerci 98 america black gay 🤔 itsoktobewhit whiteprid itsoktobestraight straightprid
25,1 - Low,i'll never apolog someth i'll alway proud regardless someon say whiteprid ✊🏻 whitepow ✊🏻 nowhiteguilt endwhiteh
26,1 - Low,odd replac whitewhit jewishjewish bunch us news headlin come beauti jew jew jewish jewishmedia whitelivesmatt whiteprid
27,1 - Low,black peopl racist averag white peopl much violent biggest threat black man anoth black man fact whiteprid
28,1 - Low,im proud white american im take kid trick treat whiteprid
29,1 - Low,without right offend free freedom freedom offend free whitegenocid real replac extermin thi offend tough luck wa born free white slave
30,1 - Low,whitegenocid whiteerasur antiwhit greatreplac groyper amren whitenation whitenationalist nickfuent
31,1 - Low,whi everyon arm say twitter go misinform white supremaci account year openli call extinct white genocid cant find similar account advoc white supremaci left ha backward
32,1 - Low,njp thee thenot whitelivesmatt whitegenocid
33,1 - Low,becom minor homeland natur rain appar whitegenocid
34,1 - Low,stop white genocid
35,1 - Low,onc you'v seen whitegenocid can't unse theyliv thenot
36,1 - Low,whitegenocid matter becaus whitelivesmatt matter matter
37,1 - Low,thenot
38,1 - Low,thenot
39,1 - Low,never forget thenot
